Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,1
100,2,8,640,128,0
100,5,1,1024,1024,11
100,4,8,701,128,3
100,6,2,1024,512,11
100,7,4,1024,256,11
100,8,8,1024,128,11
100,9,16,1024,64,10
100,10,32,1191,32,10
100,11,32,1191,32,10
100,12,32,1191,32,10
100,13,32,1191,32,10
100,14,32,1191,32,10
930,1,8,0,128,1
930,2,8,640,128,0
930,5,1,1024,1024,94
930,4,8,726,128,3
930,6,2,1024,512,94
930,7,4,1024,256,94
930,8,8,1024,128,94
930,9,16,1024,64,93
930,10,32,1191,32,93
930,11,32,1191,32,93
930,12,32,1191,32,93
930,13,32,1191,32,93
930,14,32,1191,32,93
1831,1,8,0,128,1
1831,2,8,640,128,0
1831,5,1,1024,1024,184
1831,4,8,751,128,4
1831,6,2,1024,512,184
1831,7,4,1024,256,184
1831,8,8,1024,128,184
1831,9,16,1024,64,183
1831,10,32,1191,32,183
1831,11,32,1191,32,183
1831,12,32,1191,32,183
1831,13,32,1191,32,183
1831,14,32,1191,32,183
2672,1,8,0,128,1
2672,2,8,640,128,0
2672,5,1,1024,1024,268
2672,4,8,776,128,5
2672,6,2,1024,512,268
2672,7,4,1024,256,268
2672,8,8,1024,128,268
2672,9,16,1024,64,267
2672,10,32,1191,32,267
2672,11,32,1191,32,267
2672,12,32,1191,32,267
2672,13,32,1191,32,267
2672,14,32,1191,32,267
3563,1,8,0,128,1
3563,2,8,640,128,0
3563,5,1,1024,1024,357
3563,4,8,801,128,6
3563,6,2,1024,512,357
3563,7,4,1024,256,357
3563,8,8,1024,128,357
3563,9,16,1024,64,356
3563,10,32,1191,32,356
3563,11,32,1191,32,356
3563,12,32,1191,32,356
3563,13,32,1191,32,356
3563,14,32,1191,32,356
4404,1,8,0,128,1
4404,2,8,640,128,0
4404,5,1,1024,1024,441
4404,4,8,826,128,7
4404,6,2,1024,512,441
4404,7,4,1024,256,441
4404,8,8,1024,128,441
4404,9,16,1024,64,440
4404,10,32,1191,32,440
