Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,1
100,2,8,256,128,0
100,5,1,448,1024,11
100,4,8,426,128,2
100,6,2,448,512,11
100,7,4,448,256,11
100,8,8,448,128,11
100,9,16,448,64,10
100,10,32,615,32,10
100,11,8,615,128,10
100,12,8,615,128,10
100,13,8,615,128,10
100,14,8,615,128,10
930,1,8,0,128,1
930,2,8,256,128,0
930,5,1,448,1024,94
930,4,8,476,128,2
930,6,2,448,512,94
930,7,4,448,256,94
930,8,8,448,128,94
930,9,16,448,64,93
930,10,32,615,32,93
930,11,8,615,128,93
930,12,8,615,128,93
930,13,8,615,128,93
930,14,8,615,128,93
1820,1,8,0,128,1
1820,2,8,256,128,0
1820,5,1,448,1024,183
1820,4,8,526,128,2
1820,6,2,448,512,183
1820,7,4,448,256,183
1820,8,8,448,128,183
1820,9,16,448,64,182
1820,10,32,615,32,182
1820,11,8,615,128,182
1820,12,8,615,128,182
1820,13,8,615,128,182
1820,14,8,615,128,182
2650,1,8,0,128,1
2650,2,8,256,128,0
2650,5,1,448,1024,266
2650,4,8,576,128,2
2650,6,2,448,512,266
2650,7,4,448,256,266
2650,8,8,448,128,266
2650,9,16,448,64,265
2650,10,32,615,32,265
2650,11,8,615,128,265
2650,12,8,615,128,265
2650,13,8,615,128,265
2650,14,8,615,128,265
3530,1,8,0,128,1
3530,2,8,256,128,0
3530,5,1,448,1024,354
3530,4,8,626,128,2
3530,6,2,448,512,354
3530,7,4,448,256,354
3530,8,8,448,128,354
3530,9,16,448,64,353
3530,10,32,615,32,353
3530,11,8,615,128,353
3530,12,8,615,128,353
3530,13,8,615,128,353
3530,14,8,615,128,353
4360,1,8,0,128,1
4360,2,8,256,128,0
4360,5,1,448,1024,437
4360,4,8,676,128,2
4360,6,2,448,512,437
4360,7,4,448,256,437
4360,8,8,448,128,437
4360,9,16,448,64,436
4360,10,32,615,32,436
4360,11,8,615,128,436
4360,12,8,615,128,436
4360,13,8,615,128,436
4360,14,8,615,128,436
5240,1,8,0,128,1
5240,2,8,256,128,0
5240,5,1,448,1024,525
5240,4,8,726,128,2
5240,6,2,448,512,525
5240,7,4,448,256,525
5240,8,8,448,128,525
5240,9,16,448,64,524
5240,10,32,615,32,524
5240,11,8,615,128,524
5240,12,8,615,128,524
5240,13,8,615,128,524
5240,14,8,615,128,524
6070,1,8,0,128,1
6070,2,8,256,128,0
6070,5,1,448,1024,608
6070,4,8,776,128,2
6070,6,2,448,512,608
6070,7,4,448,256,608
6070,8,8,448,128,608
6070,9,16,448,64,607
6070,10,32,615,32,607
6070,11,8,615,128,607
6070,12,8,615,128,607
6070,13,8,615,128,607
6070,14,8,615,128,607
6950,1,8,0,128,1
6950,2,8,256,128,0
6950,5,1,448,1024,696
6950,4,8,826,128,2
6950,6,2,448,512,696
6950,7,4,448,256,696
6950,8,8,448,128,696
6950,9,16,448,64,695
6950,10,32,615,32,695
6950,11,8,615,128,695
6950,12,8,615,128,695
6950,13,8,615,128,695
6950,14,8,615,128,695
7780,1,8,0,128,1
7780,2,8,256,128,0
7780,5,1,448,1024,779
7780,4,8,876,128,2
7780,6,2,448,512,779
7780,7,4,448,256,779
7780,8,8,448,128,779
7780,9,16,448,64,778
7780,10,32,615,32,778
7780,11,8,615,128,778
7780,12,8,615,128,778
7780,13,8,615,128,778
7780,14,8,615,128,778
8660,1,8,0,128,1
8660,2,8,256,128,0
8660,5,1,448,1024,867
8660,4,8,926,128,2
8660,6,2,448,512,867
8660,7,4,448,256,867
8660,8,8,448,128,867
8660,9,16,448,64,866
8660,10,32,615,32,866
8660,11,8,615,128,866
8660,12,8,615,128,866
8660,13,8,615,128,866
8660,14,8,615,128,866
9490,1,8,0,128,1
9490,2,8,256,128,0
9490,5,1,448,1024,950
9490,4,8,976,128,2
9490,6,2,448,512,950
9490,7,4,448,256,950
9490,8,8,448,128,950
9490,9,16,448,64,949
9490,10,32,615,32,949
9490,11,8,615,128,949
9490,12,8,615,128,949
9490,13,8,615,128,949
9490,14,8,615,128,949
10370,1,8,0,128,1
10370,2,8,256,128,0
10370,5,1,448,1024,1038
10370,4,8,1026,128,2
10370,6,2,448,512,1038
10370,7,4,448,256,1038
10370,8,8,448,128,1038
10370,9,16,448,64,1037
10370,10,32,615,32,1037
10370,11,8,615,128,1037
10370,12,8,615,128,1037
10370,13,8,615,128,1037
10370,14,8,615,128,1037
11200,1,8,0,128,1
11200,2,8,256,128,0
11200,5,1,448,1024,1121
11200,4,8,1076,128,2
11200,6,2,448,512,1121
11200,7,4,448,256,1121
11200,8,8,448,128,1121
11200,9,16,448,64,1120
11200,10,32,615,32,1120
11200,11,8,615,128,1120
11200,12,8,615,128,1120
11200,13,8,615,128,1120
11200,14,8,615,128,1120
12080,1,8,0,128,1
12080,2,8,256,128,0
12080,5,1,448,1024,1209
12080,4,8,1126,128,2
12080,6,2,448,512,1209
12080,7,4,448,256,1209
12080,8,8,448,128,1209
12080,9,16,448,64,1208
12080,10,32,615,32,1208
12080,11,8,615,128,1208
12080,12,8,615,128,1208
12080,13,8,615,128,1208
12080,14,8,615,128,1208
12960,1,8,0,128,1
12960,2,8,256,128,0
12960,5,1,448,1024,1297
12960,4,8,1176,128,2
12960,6,2,448,512,1297
12960,7,4,448,256,1297
12960,8,8,448,128,1297
12960,9,16,448,64,1296
12960,10,32,615,32,1296
12960,11,8,615,128,1296
12960,12,8,615,128,1296
12960,13,8,615,128,1296
12960,14,8,615,128,1296
13790,1,8,0,128,1
13790,2,8,256,128,0
13790,5,1,448,1024,1380
13790,4,8,1226,128,2
13790,6,2,448,512,1380
13790,7,4,448,256,1380
13790,8,8,448,128,1380
13790,9,16,448,64,1379
13790,10,32,615,32,1379
13790,11,8,615,128,1379
13790,12,8,615,128,1379
13790,13,8,615,128,1379
13790,14,8,615,128,1379
14670,1,8,0,128,1
14670,2,8,256,128,0
14670,5,1,448,1024,1468
14670,4,8,1276,128,2
14670,6,2,448,512,1468
14670,7,4,448,256,1468
14670,8,8,448,128,1468
14670,9,16,448,64,1467
14670,10,32,615,32,1467
14670,11,8,615,128,1467
14670,12,8,615,128,1467
14670,13,8,615,128,1467
14670,14,8,615,128,1467
15500,1,8,0,128,1
15500,2,8,256,128,0
15500,5,1,448,1024,1551
15500,4,8,1326,128,2
15500,6,2,448,512,1551
15500,7,4,448,256,1551
15500,8,8,448,128,1551
15500,9,16,448,64,1550
15500,10,32,615,32,1550
15500,11,8,615,128,1550
15500,12,8,615,128,1550
15500,13,8,615,128,1550
15500,14,8,615,128,1550
16380,1,8,0,128,1
16380,2,8,256,128,0
16380,5,1,448,1024,1639
16380,4,8,1376,128,2
16380,6,2,448,512,1639
16380,7,4,448,256,1639
16380,8,8,448,128,1639
16380,9,16,448,64,1638
16380,10,32,615,32,1638
16380,11,8,615,128,1638
16380,12,8,615,128,1638
16380,13,8,615,128,1638
16380,14,8,615,128,1638
17210,1,8,0,128,1
17210,2,8,256,128,0
17210,5,1,448,1024,1722
17210,4,8,1426,128,2
17210,6,2,448,512,1722
17210,7,4,448,256,1722
17210,8,8,448,128,1722
17210,9,16,448,64,1721
17210,10,32,615,32,1721
17210,11,8,615,128,1721
17210,12,8,615,128,1721
17210,13,8,615,128,1721
17210,14,8,615,128,1721
17210,15,8,155634,128,0
17210,16,8,155634,128,0
17210,17,8,155634,128,0
17210,18,8,155634,128,0
17210,19,8,155634,128,0
17210,20,8,155634,128,0
19195,1,8,0,128,1
19195,2,8,256,128,0
19195,5,1,448,1024,1846
19195,4,8,1450,128,3
19195,6,2,448,512,1846
19195,7,4,448,256,1846
19195,8,8,448,128,1846
