Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,256,128,1
100,2,8,1152,128,0
100,7,1,3328,1024,2
100,6,8,2301,128,1
100,8,2,2816,512,3
100,9,4,2737,256,5
100,10,8,2609,128,9
100,11,16,2481,64,16
100,12,32,2481,32,32
100,13,8,2609,128,9
100,14,8,2609,128,9
100,15,8,2481,128,8
100,16,8,2481,128,8
228,1,8,256,128,1
228,2,8,1152,128,0
228,7,1,4352,1024,3
228,6,8,2801,128,1
228,8,2,4352,512,6
228,9,4,4017,256,10
228,10,8,4017,128,20
228,11,16,3889,64,38
228,12,32,3889,32,76
228,13,8,3889,128,19
228,14,8,3889,128,19
228,15,8,3889,128,19
228,16,8,3889,128,19
362,1,8,256,128,1
362,2,8,1152,128,0
362,7,1,5376,1024,4
362,6,8,3301,128,1
362,8,2,5376,512,8
362,9,4,5553,256,16
362,10,8,5425,128,31
362,11,16,5297,64,60
362,12,32,5297,32,120
362,13,8,5425,128,31
362,14,8,5425,128,31
362,15,8,5425,128,31
362,16,8,5425,128,31
490,1,8,256,128,1
490,2,8,1152,128,0
490,7,1,7424,1024,6
490,6,8,3801,128,1
490,8,2,6912,512,11
490,9,4,6833,256,21
490,10,8,6833,128,42
490,11,16,6705,64,82
490,12,32,6705,32,164
490,13,8,6833,128,42
490,14,8,6705,128,41
490,15,8,6705,128,41
490,16,8,6705,128,41
623,1,8,256,128,1
623,2,8,1152,128,0
623,7,1,8448,1024,7
623,6,8,4301,128,1
623,8,2,8448,512,14
623,9,4,8369,256,27
623,10,8,8241,128,53
623,11,16,8113,64,104
623,12,32,8113,32,208
623,13,8,8241,128,53
623,14,8,8241,128,53
623,15,8,8241,128,53
623,16,8,8113,128,52
751,1,8,256,128,1
751,2,8,1152,128,0
751,7,1,10496,1024,9
751,6,8,4801,128,1
751,8,2,9984,512,17
751,9,4,9649,256,32
751,10,8,9649,128,64
751,11,16,9521,64,126
751,12,32,9521,32,252
751,13,8,9521,128,63
751,14,8,9521,128,63
751,15,8,9521,128,63
751,16,8,9521,128,63
884,1,8,256,128,1
884,2,8,1152,128,0
884,7,1,11520,1024,10
884,6,8,5301,128,1
884,8,2,11008,512,19
884,9,4,11185,256,38
884,10,8,11057,128,75
884,11,16,10929,64,148
884,12,32,10929,32,296
884,13,8,11057,128,75
884,14,8,11057,128,75
884,15,8,11057,128,75
884,16,8,10929,128,74
1012,1,8,256,128,1
1012,2,8,1152,128,0
1012,7,1,12544,1024,11
1012,6,8,5801,128,1
1012,8,2,12544,512,22
1012,9,4,12465,256,43
1012,10,8,12465,128,86
1012,11,16,12337,64,170
1012,12,32,12337,32,340
1012,13,8,12465,128,86
1012,14,8,12337,128,85
1012,15,8,12337,128,85
1012,16,8,12337,128,85
1145,1,8,256,128,1
1145,2,8,1152,128,0
1145,7,1,14592,1024,13
1145,6,8,6301,128,1
1145,8,2,14080,512,25
1145,9,4,14001,256,49
1145,10,8,13873,128,97
1145,11,16,13745,64,192
1145,12,32,13745,32,384
1145,13,8,13873,128,97
1145,14,8,13873,128,97
1145,15,8,13745,128,96
1145,16,8,13745,128,96
1273,1,8,256,128,1
1273,2,8,1152,128,0
1273,7,1,15616,1024,14
1273,6,8,6801,128,1
1273,8,2,15616,512,28
1273,9,4,15281,256,54
1273,10,8,15281,128,108
1273,11,16,15153,64,214
1273,12,32,15153,32,428
1273,13,8,15153,128,107
1273,14,8,15153,128,107
1273,15,8,15153,128,107
1273,16,8,15153,128,107
1406,1,8,256,128,1
1406,2,8,1152,128,0
1406,7,1,16640,1024,15
1406,6,8,7301,128,1
1406,8,2,16640,512,30
1406,9,4,16817,256,60
1406,10,8,16689,128,119
1406,11,16,16561,64,236
1406,12,32,16561,32,472
1406,13,8,16689,128,119
1406,14,8,16689,128,119
1406,15,8,16689,128,119
1406,16,8,16561,128,118
1534,1,8,256,128,1
1534,2,8,1152,128,0
1534,7,1,18688,1024,17
1534,6,8,7801,128,1
1534,8,2,18176,512,33
1534,9,4,18097,256,65
1534,10,8,18097,128,130
1534,11,16,17969,64,258
1534,12,32,17969,32,516
1534,13,8,17969,128,129
1534,14,8,17969,128,129
1534,15,8,17969,128,129
1534,16,8,17969,128,129
1667,1,8,256,128,1
1667,2,8,1152,128,0
1667,7,1,19712,1024,18
1667,6,8,8301,128,1
1667,8,2,19712,512,36
1667,9,4,19633,256,71
1667,10,8,19505,128,141
1667,11,16,19377,64,280
1667,12,32,19377,32,560
1667,13,8,19505,128,141
1667,14,8,19505,128,141
1667,15,8,19377,128,140
1667,16,8,19377,128,140
1800,1,8,256,128,1
1800,2,8,1152,128,0
1800,7,1,21760,1024,20
1800,6,8,8801,128,1
1800,8,2,21248,512,39
1800,9,4,20913,256,76
1800,10,8,20913,128,152
1800,11,16,20785,64,302
1800,12,32,20785,32,604
1800,13,8,20913,128,152
1800,14,8,20913,128,152
1800,15,8,20913,128,152
1800,16,8,20913,128,152
1928,1,8,256,128,1
1928,2,8,1152,128,0
1928,7,1,22784,1024,21
1928,6,8,9301,128,1
1928,8,2,22272,512,41
1928,9,4,22449,256,82
1928,10,8,22321,128,163
1928,11,16,22193,64,324
1928,12,32,22193,32,648
1928,13,8,22321,128,163
1928,14,8,22321,128,163
1928,15,8,22193,128,162
1928,16,8,22193,128,162
2061,1,8,256,128,1
2061,2,8,1152,128,0
2061,7,1,23808,1024,22
2061,6,8,9801,128,1
2061,8,2,23808,512,44
2061,9,4,23729,256,87
2061,10,8,23729,128,174
2061,11,16,23665,64,347
2061,12,32,23601,32,692
2061,13,8,23729,128,174
2061,14,8,23729,128,174
2061,15,8,23729,128,174
2061,16,8,23729,128,174
2189,1,8,256,128,1
2189,2,8,1152,128,0
2189,7,1,25856,1024,24
2189,6,8,10301,128,1
2189,8,2,25344,512,47
2189,9,4,25265,256,93
2189,10,8,25137,128,185
2189,11,16,25009,64,368
2189,12,32,25009,32,736
2189,13,8,25137,128,185
2189,14,8,25009,128,184
2189,15,8,25009,128,184
2189,16,8,25009,128,184
2320,1,8,256,128,1
2320,2,8,1152,128,0
2320,7,1,26880,1024,25
2320,6,8,10801,128,1
2320,8,2,26880,512,50
2320,9,4,26545,256,98
2320,10,8,26545,128,196
2320,11,16,26417,64,390
2320,12,32,26417,32,780
2320,13,8,26545,128,196
2320,14,8,26545,128,196
2320,15,8,26417,128,195
2320,16,8,26417,128,195
2448,1,8,256,128,1
2448,2,8,1152,128,0
2448,7,1,27904,1024,26
2448,6,8,11301,128,1
2448,8,2,27904,512,52
2448,9,4,28081,256,104
2448,10,8,27953,128,207
2448,11,16,27825,64,412
2448,12,32,27825,32,824
2448,13,8,27825,128,206
2448,14,8,27825,128,206
2448,15,8,27825,128,206
2448,16,8,27825,128,206
2582,1,8,256,128,1
2582,2,8,1152,128,0
2582,7,1,29952,1024,28
2582,6,8,11811,128,1
2582,8,2,29440,512,55
2582,9,4,29361,256,109
2582,10,8,29361,128,218
2582,11,16,29233,64,434
2582,12,32,29233,32,868
2582,13,8,29361,128,218
2582,14,8,29361,128,218
2582,15,8,29361,128,218
2582,16,8,29233,128,217
2715,1,8,256,128,1
2715,2,8,1152,128,0
2715,7,1,30976,1024,29
2715,6,8,12311,128,1
2715,8,2,30976,512,58
2715,9,4,30897,256,115
2715,10,8,30769,128,229
2715,11,16,30705,64,457
2715,12,32,30641,32,912
2715,13,8,30769,128,229
2715,14,8,30769,128,229
2715,15,8,30769,128,229
2715,16,8,30769,128,229
2715,17,8,27014,128,0
2715,18,8,27014,128,0
