Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,640,128,4
100,2,8,896,128,0
100,5,1,2432,1024,1
100,4,8,2142,128,6
100,6,2,2432,512,2
100,7,4,2432,256,4
100,8,8,2243,128,5
100,9,16,2243,64,10
100,10,32,2179,32,18
100,11,32,2209,32,17
100,12,32,2209,32,17
100,13,32,2209,32,17
100,14,32,2209,32,17
242,1,8,640,128,4
242,2,8,896,128,0
242,5,1,3456,1024,2
242,4,8,2520,128,7
242,6,2,3456,512,4
242,7,4,3200,256,7
242,8,8,3011,128,11
242,9,16,2947,64,21
242,10,32,2947,32,42
242,11,32,2977,32,41
242,12,32,2977,32,41
242,13,32,2945,32,40
242,14,32,2945,32,40
377,1,8,640,128,4
377,2,8,896,128,0
377,5,1,4480,1024,3
377,4,8,2898,128,8
377,6,2,3968,512,5
377,7,4,3712,256,9
377,8,8,3779,128,17
377,9,16,3715,64,33
377,10,32,3651,32,64
377,11,32,3681,32,63
377,12,32,3681,32,63
377,13,32,3681,32,63
377,14,32,3681,32,63
506,1,8,640,128,4
506,2,8,896,128,0
506,5,1,4480,1024,3
506,4,8,3276,128,9
506,6,2,4480,512,6
506,7,4,4480,256,12
506,8,8,4419,128,22
506,9,16,4355,64,43
506,10,32,4355,32,86
506,11,32,4385,32,85
506,12,32,4385,32,85
506,13,32,4385,32,85
506,14,32,4353,32,84
640,1,8,640,128,4
640,2,8,896,128,0
640,5,1,5504,1024,4
640,4,8,3654,128,10
640,6,2,5504,512,8
640,7,4,5248,256,15
640,8,8,5059,128,27
640,9,16,5059,64,54
640,10,32,5059,32,108
640,11,32,5089,32,107
640,12,32,5089,32,107
640,13,32,5089,32,107
640,14,32,5089,32,107
769,1,8,640,128,4
769,2,8,896,128,0
769,5,1,6528,1024,5
769,4,8,4032,128,11
769,6,2,6016,512,9
769,7,4,6016,256,18
769,8,8,5827,128,33
769,9,16,5763,64,65
769,10,32,5763,32,130
769,11,32,5761,32,128
769,12,32,5761,32,128
769,13,32,5761,32,128
769,14,32,5761,32,128
903,1,8,640,128,4
903,2,8,896,128,0
903,5,1,6528,1024,5
903,4,8,4410,128,12
903,6,2,6528,512,10
903,7,4,6528,256,20
903,8,8,6467,128,38
903,9,16,6467,64,76
903,10,32,6467,32,152
903,11,32,6497,32,151
903,12,32,6497,32,151
903,13,32,6497,32,151
903,14,32,6497,32,151
1032,1,8,640,128,4
1032,2,8,896,128,0
1032,5,1,7552,1024,6
1032,4,8,4788,128,13
1032,6,2,7552,512,12
1032,7,4,7296,256,23
1032,8,8,7235,128,44
1032,9,16,7171,64,87
1032,10,32,7139,32,173
1032,11,32,7169,32,172
1032,12,32,7169,32,172
1032,13,32,7169,32,172
1032,14,32,7169,32,172
1166,1,8,640,128,4
1166,2,8,896,128,0
1166,5,1,8576,1024,7
1166,4,8,5294,128,15
1166,6,2,8064,512,13
1166,7,4,8064,256,26
1166,8,8,7875,128,49
1166,9,16,7875,64,98
1166,10,32,7875,32,196
1166,11,32,7873,32,194
1166,12,32,7873,32,194
1166,13,32,7873,32,194
1166,14,32,7873,32,194
1295,1,8,640,128,4
1295,2,8,896,128,0
1295,5,1,8576,1024,7
1295,4,8,5672,128,16
